3	19	28	2	.6	9.5	4	12.5	5
3	20	5	1	.2	10	5	10	5
3	10	6	.4	.2	4.5	3	7	4.5
3	15	5	.2	0	5	1	7	1.5
3	19	9	1	0	2.5	.5	5	1
3	10	7	.6	.2	0	0	0	0
3	5	3	.2	0	10	2.5	14	10
3	5	2	2.2	.4	1.5	0	2.5	.5
3	15	10	1	.4	10	5	12.5	6
3	0	5	.6	.4	5	2.5	8	5
3	12	9	.8	.4	5	3	5	3
3	15	5	2	.8	10	5	15	5
3	10	4	.6	.2	3.5	2	6	3
3	17	5	0	0	5	0	7.5	0
3	15	7	1	.2	7	3.5	7	3.5
3	13	12	1	.8	9	8	10	9.5
3	12	7	1	.4	8	4	10	5
3	11	5	.6	.2	4	0	4	.5
3	15	7	5.6	3	5	1	8	2
3	10	5	0	0	0	0	0	0
3	8	3	1.6	.2	20	9	22	11.5
3	12	6	2	.6	10	2.5	15	5
3	15	10	1	0	10	2.5	12.5	5
3	10	5	10	5.6	10	5	10	5
3	10	4	1	.6	9.5	5	8	4
3	20	5	1	0	10	2	10	2
3	20	10	1	.4	7	3.5	10	5
3	15	5	.4	.2	2.5	1	2.5	1.5
4	10	15	.8	1.6	3	5	5	7.5
4	15	16	1	1.2	2.5	3	2	2.5
4	15	30	1	2	5	10	5	10
4	10	18	.6	1.2	6	18	9	20.5
4	15	20	.6	4	7.5	15	7.5	15
4	10	21	0	.8	2.5	5	3	5
4	15	25	1	2	5	10	7.5	12.5
4	10	12	.2	1	0	1	0	2.5
4	10	11	1	1.2	5	5.5	5	5.5
4	15	25	1	2	10	20	10	20
4	15	20	.4	.8	2	3.5	2	5
4	10	16	.6	.8	0	.5	1	1.5
4	10	17	.8	1.4	5	7.5	7.5	10
4	15	20	.4	1	4.5	7.5	5	8
4	9	15	.2	1.6	5	10	2.5	7.5
4	15	30	.2	.8	2	10	2.5	10
4	15	20	1	2	10	15	10	15
4	4	3	1.6	2	4.5	4.5	3	3
4	15	25	1	2	10	15	10	15
4	15	20	.6	1	6	10	7.5	12.5
4	15	20	.4	1	3	10	.5	1
4	1	1	.2	.2	0	0	0	0
4	12	15	1	1.6	5	6	5	6
4	10	20	.8	1.4	4	11	4	11
4	15	25	.6	1.4	5	10	5	10
4	5	12	0	1	0	2.5	0	2.5
4	13	22	.4	1	0	.5	0	.5
4	17	6	3	1.2	4.5	5	5.5	9
4	10	20	.2	.6	3.5	7	3.5	7
4	15	25	1	3	7.5	12.5	5	8
4	15	40	2	5	1.5	4	1	3
4	8	12	.2	.8	2	5	2	5
4	14	25	1.2	2	5	7	7	8
4	25	34	5	10	7.5	13	17	25
4	15	25	2.6	3.6	9.5	15	12.5	18.5
4	15	50	.4	1	5	25	0	25
4	5	10	.2	1	.5	1.5	.5	1.5
4	15	18	1	3	0	.5	0	1
4	15	18	.6	1.2	5	8	5	8
4	10	20	.4	1.2	3.5	10	4.5	12.5
4	15	20	2	4	3.5	8	1.5	5
4	15	22	1	2	7.5	15	10	20
4	9	25	.8	2	5	10	10	15
4	12	25	.6	2	5	13.5	5.5	14.5
4	15	25	2	3	10	25	10	25
4	0	1	0	.2	0	.5	0	.5
4	8	18	.6	1.4	10	13	10	13
4	15	25	1	2	5	15	10	20
4	10	25	.2	2	5	15	7.5	20
4	10	20	1	3	0	10	0	10
4	3	5	2.4	3.6	3	4	2.5	4.5
4	6	11	4	10	10	19.5	13	24
4	15	20	0	.2	0	.5	0	.5
4	7	12	.6	1.2	5	10	5	10
4	5	10	.4	2	5	10	2	5
4	15	30	1	2.4	0	2.5	0	2.5
